目录编号,视频标题,发布时间,年月,年份,主题分类,点赞数
61,两会时间即将开启，这份惠农“大礼包”请查收！ #绘说现代化,2025-03-02 10:30:17,2025-03,2025,['两会政策'],5714
98,开放大门越开越大，发展机遇世界共享！如今，中国已成为150多个国家和地区的主要贸易伙伴，货物贸易总额,2025-11-14 09:04:02,2025-11,2025,['其他'],5649
24,累计开行突破90000列！飞驰吧，中欧班列～ #绘说现代化,2024-06-16 08:58:36,2024-06,2024,['其他'],5555
63,一年春作首，奋进正当时！卫星视角看奋进的春天！ #绘说现代化,2025-03-15 10:05:25,2025-03,2025,['其他'],5137
21,向新而行！在辽宁，感受中国式现代化的磅礴力量🔥#行进看中国 #绘说现代化,2024-05-25 11:23:43,2024-05,2024,['其他'],4965
16,覆盖人群更广、保障能力更强，1分钟看医保如何守护全民健康❤️#绘说现代化,2024-04-20 11:02:25,2024-04,2024,['其他'],4950
91,你用的电可能是甘肃来的！ 电力输送全国26个省份，甘肃正在从“风光”大省向“风光”强省加速跨越👍#绘,2025-09-28 08:27:54,2025-09,2025,['能源建设'],4671
33,跨境电商跑出加速度、海外仓步入发展快车道…90秒了解开放中国🔥 #绘说现代化,2024-08-18 09:07:30,2024-08,2024,['其他'],4628
27,“宁”心聚力！数说“塞上江南”的中国式现代化！#绘说现代化,2024-07-06 16:50:12,2024-07,2024,['其他'],4398
36,我国在校生2.91亿人，研发人员总量居世界首位…教育强国，阔步前行！#绘说现代化,2024-09-07 11:33:40,2024-09,2024,['其他'],4309
20,土特产出圈撑起大产业！截至2023年底，全国已有180个优势特色产业集群👍一人说一个家乡特产吧！ #,2024-05-18 13:57:52,2024-05,2024,['其他'],4205
53,冰雪旅游“火”、冰雪产业“热”、冰雪运动“燃”…冰雪经济活力四射！这个冬天，你想去哪里看看？#绘说现,2025-01-04 16:19:44,2025-01,2025,['消费经济'],4122
58,尔滨正式进入“亚冬时间”， 听易烊千玺、单依纯演唱的《尔滨的雪》，感受龙江冰雪热辣滚烫！#绘说现代化,2025-02-09 08:48:11,2025-02,2025,['其他'],4056
38,100秒看丰收中国粮安天下！#绘说现代化,2024-09-22 12:02:28,2024-09,2024,['其他'],4015
42,秋收正当时，处处好丰光！风吹麦浪遍地黄、万亩高粱别样红、稻鱼共生绿意浓...今年全国秋粮有望再获丰收,2024-10-19 09:30:01,2024-10,2024,['其他'],3683
17,爱读书、读好书、善读书！去年我国人均阅读纸质书4.75本，你看了几本？#绘说现代化,2024-04-23 19:25:42,2024-04,2024,['其他'],3504
60,不止“风吹草低见牛羊”，冰雪内蒙古也很治愈！下一个冬天，我们不见不散！#绘说现代化,2025-02-22 17:03:52,2025-02,2025,['其他'],3385
37,80秒看中国能源底气十足🔥 点亮小心心，“加油”“打气”！ #绘说现代化,2024-09-15 10:00:00,2024-09,2024,['其他'],3343
89,水丰、光富、风好、地广…青海在绿电领域的第一也太多了吧！一起感受中国式现代化的磅礴力量！#绘说现代化,2025-09-14 19:06:25,2025-09,2025,['能源建设'],3299
35,今年我国快递量已突破1000亿件！快递加速度，点赞便利中国！ #绘说现代化,2024-09-01 08:51:20,2024-09,2024,['其他'],3297
82,大有可为大有前途！2024年，我国海洋经济总量首次突破10万亿元，较2012年翻一番！骄傲见证，海洋,2025-07-27 09:58:24,2025-07,2025,['消费经济'],3272
75,一起走进山水广西，感受中国式现代化的创新活力。#绘说现代化,2025-06-07 13:05:36,2025-06,2025,"['科技创新', '区域发展']",3200
39,绿色共享！80秒打开低碳中国🌳 #绘说现代化,2024-09-29 08:43:13,2024-09,2024,['绿色生态'],3141
41,这个国庆，文旅场景持续上新、多地赛事如火如荼、以旧换新激发潜力…假日经济的韧性和活力拉满了🔥#绘说现,2024-10-13 20:57:38,2024-10,2024,['消费经济'],3119
48,100秒看科技强国扎实推进！一起感受中国式现代化的磅礴力量！#绘说现代化,2024-12-01 09:00:00,2024-12,2024,['科技创新'],3117
64,中国人春耕的科技含量有多高？农机+北斗、植保+无人机…60秒打开万象“耕”新的春天👍#绘说现代化,2025-03-23 10:56:32,2025-03,2025,"['农业发展', '科技创新']",3036
8,2024年春节档电影票房超80亿元、春节假期国内旅游出游4.74亿人次......一起感受中国式现代,2024-02-24 19:08:32,2024-02,2024,['消费经济'],2968
32,15分钟健身圈、每天1节体育课…全民健身蔚然成风，健康中国你我同行💪#绘说现代化,2024-08-11 11:05:54,2024-08,2024,['其他'],2744
59,吉林冰雪经济“花样”上新！想去的心情达到了顶峰🤩 #绘说现代化,2025-02-16 10:09:34,2025-02,2025,['消费经济'],2652
65,作为唯一没有平原的省份，贵州是如何种好田的？#绘说现代化  一起感受中国式现代化的磅礴力量！,2025-03-29 11:08:35,2025-03,2025,['其他'],2596
90,追“风”逐“绿”！ 宁夏“绿电”0.0054秒即可闪送湖南，为国家构建新型能源体系贡献宁夏力量！#绘,2025-09-21 09:28:07,2025-09,2025,['能源建设'],2578
55,冰雪“冀” 火起来！总要去河北滑一次雪吧？爱滑雪的同学在哪里#绘说现代化（@河北文旅 ）,2025-01-18 09:00:00,2025-01,2025,['区域发展'],2532
67,搭载Deepseek的机器人在田里巡查，麦田上空的无人机化身“钢铁蜻蜓”来回穿梭......当天府粮,2025-04-12 17:47:30,2025-04,2025,['农业发展'],2524
83,上海港集装箱吞吐量连续15年全球第1👍一起见证上海向海图强的壮阔征程，感受中国式现代化的磅礴力量！#,2025-08-02 12:32:01,2025-08,2025,['其他'],2495
51,背诗文免门票、一部剧带火一座城、悟空古建游出圈…旅游强国新潮涌动🔥#绘说现代化,2024-12-21 10:50:57,2024-12,2024,['消费经济'],2480
49,6轴7廊8通道，主骨架加快成型；国产大飞机C919，三大航全部投入运营…交通强国，步履不停！#绘说现,2024-12-07 09:00:00,2024-12,2024,['基础设施'],2424
85,海上风电总装机规模全国第一 ，海水鱼养殖产量占全国近半；“梦想”号大洋钻探船建成入列，中华白海豚频频,2025-08-17 10:45:31,2025-08,2025,"['能源建设', '消费经济']",2399
70,你的浪漫七成来自云南🌷全国每10枝鲜切花7枝来自云南🌷每天有3000万枝鲜切花从昆明斗南花市发往全球,2025-05-03 07:51:51,2025-05,2025,['区域发展'],2282
69,全国每9碗饭里就有1碗来自黑龙江！这就是全国产粮第一大省的春耕含金量👍#绘说现代化,2025-04-26 09:44:45,2025-04,2025,['农业发展'],2203
66,193万亩农田喝上“智慧水”，30万台农机即将开耕3200万亩良田......山西春耕科技感MAX！,2025-04-03 12:31:37,2025-04,2025,"['农业发展', '科技创新']",2192
94,延安老区新能绿动未来！石油资源储量13.8亿吨、天然气资源储量3000亿方、可开发新能源规模1150,2025-10-17 08:45:08,2025-10,2025,"['能源建设', '科技创新']",2190
50,免签国“朋友圈”持续扩容、共建“一带一路”开启新篇...1分钟视频带你感受！#绘说现代化,2024-12-14 12:26:43,2024-12,2024,['其他'],2013
96,#这些大国重器都是辽宁造 ！以科技创新引领产业创新，为辽宁全面振兴注入新动能！一起感受中国式现代化的,2025-11-02 09:30:10,2025-11,2025,['科技创新'],2006
73,非遗里的“陕味”好上头！一起感受中国式现代化的蓬勃生机🤩#绘说现代化,2025-05-24 09:06:21,2025-05,2025,['其他'],1976
56,惊艳！冬天的新疆含金量有多高！ ,2025-01-26 10:25:00,2025-01,2025,['区域发展'],1865
80,1314公里的G331吉林段有多美？ 从长白山的清凉到鸭绿江的微风，#绘说现代化 带你走进吉林这条宝,2025-07-12 09:44:35,2025-07,2025,['其他'],1821
81,你吃的菜可能就来自云南✌️平均每1分钟就有约40吨鲜蔬发往全国，“云菜” ——世界认识中国农业的鲜活,2025-07-19 09:36:40,2025-07,2025,"['农业发展', '区域发展']",1804
77,打翻的调色盘、流动的风情画、文化的荟萃地……#绘说现代化 ，一起看新疆的N种打开方式！,2025-06-21 14:07:40,2025-06,2025,"['文化遗产', '区域发展']",1779
84,从南通“造岛神器”，到盐城“发电站”，再到连云港“海洋牧场”……江苏海洋经济不止于GDP！#绘说现代,2025-08-09 09:00:00,2025-08,2025,['消费经济'],1768
78,“不到4分钟便可收割一亩地”、“自动规划最优路线，不重割、不漏割”...1分钟看中国人三夏有多拼！#,2025-06-27 11:45:22,2025-06,2025,['其他'],1728
45,相约进博、共享未来，一起感受中国式现代化的磅礴力量！ #绘说现代化,2024-11-10 10:26:50,2024-11,2024,['其他'],1712
76,国人餐桌上，每10条大黄鱼就有8条来自福建宁德🤩一起走进福建，感受中国式现代化的磅礴力量！#绘说现代,2025-06-14 12:35:44,2025-06,2025,['其他'],1673
97,#中国轻工业实力有多硬核 轻工业既事关人民美好生活，也关系国民经济增长。#绘说现代化 中国轻工业向新,2025-11-08 09:09:12,2025-11,2025,"['科技创新', '消费经济']",1620
93,世界屋脊“追风逐日”！ 水力资源可开发量1.8亿千瓦，光伏资源可开发量98亿千瓦，风能资源可开发量1,2025-10-11 09:00:51,2025-10,2025,"['能源建设', '科技创新']",1607
87,原来四川的“气场”这么足！以气为脉、以绿为底，四川正为国家能源安全与绿色转型注入澎湃动能👍#绘说现代,2025-08-29 08:47:57,2025-08,2025,['绿色生态'],1599
95,#湖南敢为天下新 在“三高四新”战略引领下，湖南正以前所未有的速度，创新发展、创造未来！#绘说现代化,2025-10-25 09:52:12,2025-10,2025,['科技创新'],1552
71,一起走进不一样的河南，感受中国式现代化的创新活力。#绘说现代化,2025-05-10 13:37:28,2025-05,2025,['科技创新'],1507
86,海南十年再造海上海南！在海洋强国战略指引下，海南正构建“5+4+2”现代海洋产业体系🌊 一起感受中国,2025-08-23 12:00:00,2025-08,2025,['科技创新'],1502
79,湖北好玩的地方也太太太多了吧🤩你能说出几个！一起走进湖北，感受中国式现代化蓬勃的脉动！#绘说现代化,2025-07-04 08:43:37,2025-07,2025,['其他'],1443
62,“稳”的态势巩固延续，“进”的步伐坚实有力！ 1分钟数读政府工作报告，感受中国式现代化的磅礴力量！#,2025-03-06 10:12:46,2025-03,2025,['两会政策'],1439
74,浙里好风景！浙江绘就中国式现代化文旅新范式👍 #绘说现代化 带你走进诗画江南❤️,2025-05-31 13:57:46,2025-05,2025,['其他'],1305
68,数字牧场、绿色养殖、AI赋能…山东的海上春耕已经是另一个level了！#绘说现代化（@人民网山东频道,2025-04-19 10:02:59,2025-04,2025,"['农业发展', '绿色生态', '科技创新']",1078
